Count of Education_Level,Column Labels,,,,,,,,,
Row Labels,College,Doctorate,Graduate,High School,Post-Graduate,Uneducated,Unknown,Grand Total,,
Attrited Customer,154,95,487,306,92,237,256,1627,,
Existing Customer,859,356,2641,1707,424,1250,1263,8500,,
Grand Total,1013,451,3128,2013,516,1487,1519,10127,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Count of Gender,Column Labels,,,,Count of Card_Category,Column Labels,,,,
Row Labels,F,M,Grand Total,,Row Labels,Blue,Gold,Platinum,Silver,Grand Total
Attrited Customer,930,697,1627,,Attrited Customer,1519,21,5,82,1627
Existing Customer,4428,4072,8500,,Existing Customer,7917,95,15,473,8500
Grand Total,5358,4769,10127,,Grand Total,9436,116,20,555,10127
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Count of Months_Inactive_12_mon,Column Labels,,,,,,,,,
Row Labels,Attrited Customer,Existing Customer,Grand Total,,,,,,,
0,15,14,29,,,,,,,
1,100,2133,2233,,,,,,,
2,505,2777,3282,,,,,,,
3,826,3020,3846,,,,,,,
4,130,305,435,,,,,,,
5,32,146,178,,,,,,,
6,19,105,124,,,,,,,
Grand Total,1627,8500,10127,,,,,,,
